iter	Passed	Remaining
0	159	1589908
1	283	1416431
2	381	1272044
3	488	1221210
4	588	1176523
5	691	1152402
6	830	1185975
7	959	1198804
8	1080	1199505
9	1211	1210084
10	1331	1208918
11	1449	1206545
12	1561	1199468
13	1697	1210993
14	1824	1214487
15	2036	1271073
16	2159	1268373
17	2276	1262575
18	2395	1258550
19	2533	1264352
20	2666	1267304
21	2806	1272809
22	2910	1262574
23	3046	1266191
24	3194	1274494
25	3328	1276878
26	3472	1282756
27	3602	1282938
28	3740	1286176
29	3853	1280765
30	3994	1284650
31	4133	1287463
32	4252	1284338
33	4399	1289709
34	4538	1292125
35	4690	1298114
36	4818	1297399
37	4936	1294025
38	5088	1299762
39	5253	1308053
40	5454	1325018
41	5641	1337534
42	5763	1334512
43	5876	1329786
44	5999	1327191
45	6135	1327758
46	6293	1332818
47	6588	1365925
48	6799	1380874
49	7036	1400261
50	7191	1402901
51	7317	1399861
52	7446	1397508
53	7610	1401669
54	7721	1396261
55	7829	1390207
56	7957	1388041
57	8086	1386160
58	8219	1384879
59	8364	1385774
60	8489	1383175
61	8617	1381295
62	8757	1381343
63	8906	1382748
64	9034	1380947
65	9170	1380274
66	9274	1375028
67	9412	1374811
68	9545	1373803
69	9658	1370068
70	9775	1367029
71	9910	1366609
72	10033	1364427
73	10139	1360095
74	10262	1358005
75	10389	1356611
76	10533	1357477
77	10646	1354228
78	10770	1352579
79	10878	1348919
80	10991	1346022
81	11112	1344039
82	11235	1342449
83	11369	1342151
84	11492	1340521
85	11650	1343031
86	11762	1340203
87	11893	1339599
88	12020	1338581
89	12137	1336448
90	12243	1333245
91	12347	1329815
92	12453	1326637
93	12572	1324936
94	12694	1323592
95	12812	1321807
96	12927	1319788
97	13068	1320453
98	13180	1318221
99	13303	1317075
100	13421	1315459
101	13537	1313640
102	13659	1312507
103	13753	1308743
104	13845	1304782
105	13939	1301108
106	14042	1298311
107	14140	1295183
108	14314	1298928
109	14464	1300528
110	14635	1303841
111	14762	1303324
112	14892	1303061
113	15019	1302497
114	15143	1301693
115	15243	1298888
116	15350	1296637
117	15449	1293864
118	15568	1292735
119	15674	1290511
120	15783	1288602
121	15898	1287242
122	16003	1285064
123	16140	1285496
124	16272	1285512
125	16414	1286362
126	16544	1286162
127	16673	1285929
128	16784	1284344
129	16897	1282915
130	17004	1281014
131	17127	1280417
132	17253	1280018
133	17396	1280835
134	17524	1280617
135	17655	1280576
136	17772	1279475
137	17885	1278131
138	18009	1277610
139	18141	1277713
140	18257	1276605
141	18405	1277764
142	18518	1276474
143	18652	1276656
144	18769	1275649
145	18888	1274825
146	19011	1274297
147	19120	1272807
148	19237	1271873
149	19387	1273139
150	19503	1272114
151	19634	1272127
152	19751	1271178
153	19858	1269658
154	20002	1270449
155	20160	1272150
156	20273	1271011
157	20392	1270274
158	20497	1268672
159	20595	1266649
160	20695	1264711
161	20803	1263385
