iter	Passed	Remaining
0	124	124751
1	219	109568
2	321	106780
3	417	104019
4	525	104583
5	630	104464
6	736	104520
7	845	104902
8	948	104460
9	1051	104066
10	1148	103229
11	1246	102645
12	1345	102164
13	1439	101416
14	1546	101536
15	1644	101143
16	1750	101240
17	1848	100856
18	1953	100846
19	2053	100617
20	2151	100312
21	2250	100022
22	2353	99979
23	2465	100283
24	2581	100681
25	2696	101002
26	2810	101296
27	2921	101402
28	3139	105108
29	3262	105503
30	3379	105622
31	3491	105617
32	3608	105741
33	3723	105783
34	3828	105545
35	3951	105817
36	4061	105707
37	4165	105460
38	4265	105110
39	4371	104919
40	4478	104753
41	4579	104459
42	4705	104720
43	4813	104583
44	4920	104432
45	5029	104307
46	5134	104105
47	5244	104006
48	5353	103900
49	5458	103709
50	5591	104037
51	5708	104079
52	5816	103937
53	5916	103649
54	6024	103503
55	6125	103257
56	6223	102955
57	6324	102723
58	6423	102444
59	6520	102160
60	6636	102165
61	6739	101960
62	6831	101605
63	6928	101328
64	7021	101008
65	7115	100689
66	7213	100449
67	7317	100295
68	7420	100128
69	7531	100058
70	7651	100113
71	7758	99993
72	7865	99887
73	7967	99704
74	8083	99691
75	8180	99456
76	8277	99226
77	8377	99030
78	8490	98988
79	8645	99425
80	8776	99573
81	8911	99764
82	9038	99861
83	9169	99990
84	9290	100007
85	9427	100195
86	9551	100233
87	9682	100348
88	9828	100599
89	9958	100692
90	10084	100738
91	10217	100844
92	10346	100908
93	10497	101181
94	10754	102452
95	10895	102601
96	11060	102964
97	11207	103152
98	11334	103152
99	11465	103188
100	11609	103332
101	11772	103644
102	11908	103712
103	12045	103776
104	12185	103863
105	12302	103760
106	12410	103578
107	12515	103370
108	12620	103165
109	12776	103369
110	12924	103510
111	13090	103788
112	13214	103724
113	13346	103726
114	13466	103635
115	13599	103636
116	13728	103611
117	13859	103596
118	14012	103740
119	14186	104034
120	14339	104165
121	14453	104016
122	14569	103879
123	14686	103754
124	14810	103675
125	14929	103560
126	15071	103599
127	15186	103458
128	15311	103382
129	15436	103304
130	15576	103326
131	15722	103387
132	15855	103360
133	15976	103252
134	16089	103093
135	16216	103023
136	16331	102877
137	16447	102737
138	16568	102627
139	16692	102542
140	16824	102496
141	16964	102504
142	17089	102416
143	17207	102287
144	17325	102162
145	17487	102291
146	17651	102425
147	17885	102962
148	18047	103073
149	18193	103093
150	18331	103068
151	18452	102943
152	18562	102759
153	18678	102608
154	18820	102601
155	19038	103005
156	19170	102935
157	19311	102915
158	19457	102918
159	19624	103026
160	19816	103269
161	19945	103172
162	20067	103047
163	20183	102888
164	20290	102681
165	20396	102473
166	20484	102174
167	20574	101892
168	20682	101699
169	20794	101524
170	20900	101323
171	21013	101156
172	21108	100907
173	21200	100639
174	21299	100410
175	21400	100193
176	21506	99996
177	21614	99816
178	21733	99684
179	21828	99441
180	21934	99251
181	22032	99027
182	22144	98861
183	22256	98703
184	22372	98558
185	22487	98411
186	22618	98336
187	22737	98206
188	22822	97931
189	22911	97673
190	23011	97465
191	23123	97311
192	23226	97117
193	23319	96883
194	23412	96650
195	23519	96479
196	23626	96305
197	23724	96096
198	23811	95843
199	23894	95579
200	23986	95348
201	24082	95137
202	24175	94916
203	24275	94721
204	24372	94517
205	24482	94365
206	24586	94187
207	24709	94087
208	24812	93909
209	24909	93707
