iter	Passed	Remaining
0	27	27652
1	52	26239
2	78	25932
3	132	33063
4	166	33115
5	198	32878
6	272	38587
7	305	37865
8	339	37392
9	416	41201
10	445	40083
11	475	39109
12	539	40936
13	568	40034
14	597	39207
15	648	39907
16	677	39201
17	710	38748
18	779	40266
19	809	39660
20	847	39491
21	909	40453
22	945	40172
23	978	39782
24	1043	40684
25	1073	40201
26	1108	39936
27	1161	40313
28	1197	40096
29	1227	39684
30	1298	40586
31	1336	40429
32	1367	40061
33	1438	40856
34	1470	40548
35	1503	40258
36	1569	40838
37	1600	40512
38	1634	40278
39	1694	40658
40	1727	40416
41	1759	40125
42	1828	40687
43	1863	40483
44	1894	40204
45	1951	40479
46	1984	40235
47	2017	40006
48	2134	41425
49	2169	41228
50	2205	41045
51	2265	41301
52	2301	41121
53	2337	40946
54	2399	41224
55	2434	41043
56	2471	40882
57	2540	41269
58	2583	41197
59	2625	41131
60	2702	41604
61	2747	41566
62	2796	41594
63	2882	42160
64	2920	42003
65	2954	41813
66	3010	41923
67	3042	41697
68	3075	41492
69	3140	41728
70	3181	41631
71	3217	41475
72	3248	41257
73	3319	41536
74	3350	41324
75	3388	41193
76	3444	41290
77	3472	41050
78	3510	40926
79	3574	41107
80	3606	40912
81	3637	40724
82	3697	40854
83	3730	40683
84	3758	40464
85	3815	40548
86	3850	40403
87	3885	40264
88	3938	40317
89	3973	40177
90	4012	40083
91	4071	40188
92	4104	40033
93	4137	39882
94	4205	40067
95	4237	39905
96	4272	39773
97	4341	39960
98	4374	39807
99	4414	39726
100	4466	39754
101	4500	39619
102	4532	39471
103	4593	39571
104	4625	39430
105	4657	39280
106	4720	39395
107	4755	39276
108	4787	39137
109	4852	39262
110	4887	39140
111	4925	39049
112	4996	39223
113	5031	39102
114	5065	38982
115	5121	39031
116	5153	38891
117	5186	38765
118	5253	38893
119	5295	38834
120	5326	38696
121	5393	38818
122	5423	38667
123	5454	38535
124	5511	38582
125	5545	38469
126	5578	38346
127	5637	38406
128	5673	38309
129	5706	38191
130	5767	38261
131	5798	38128
132	5832	38019
133	5907	38178
134	5942	38076
135	5972	37940
136	6039	38043
137	6072	37930
138	6104	37810
139	6171	37909
140	6205	37805
141	6239	37702
142	6304	37784
143	6339	37684
144	6372	37576
145	6428	37599
146	6459	37483
147	6494	37384
148	6547	37393
149	6576	37268
150	6609	37160
151	6663	37176
152	6700	37095
153	6727	36959
154	6793	37033
155	6825	36929
156	6858	36828
157	6927	36915
158	6959	36813
159	6992	36709
160	7051	36747
161	7084	36646
162	7116	36544
163	7187	36639
164	7216	36520
165	7250	36427
166	7316	36492
167	7350	36404
168	7388	36328
169	7451	36382
170	7484	36282
171	7516	36181
172	7571	36192
173	7600	36081
174	7643	36034
175	7698	36041
176	7730	35944
177	7762	35846
178	7826	35898
179	7859	35805
180	7892	35714
181	7953	35747
182	7983	35643
183	8019	35564
184	8080	35598
185	8119	35533
186	8151	35438
187	8205	35439
188	8236	35344
189	8270	35259
190	8326	35269
191	8359	35181
192	8396	35109
193	8457	35136
194	8487	35037
195	8523	34962
196	8586	35000
197	8625	34936
198	8663	34869
199	8728	34915
200	8763	34834
201	8796	34752
202	8855	34767
203	8887	34679
204	8920	34593
205	8987	34641
206	9017	34547
207	9057	34487
208	9120	34519
209	9151	34425
210	9186	34350
211	9237	34335
212	9268	34247
213	9303	34170
214	9359	34171
215	9390	34084
216	9423	34004
217	9481	34013
218	9518	33945
219	9546	33845
220	9614	33889
221	9642	33792
222	9673	33703
223	9743	33755
224	9772	33659
225	9800	33564
226	9847	33533
227	9878	33449
228	9909	33363
229	9961	33349
230	9991	33260
231	10029	33200
232	10094	33228
233	10124	33143
234	10154	33055
235	10218	33080
236	10258	33027
237	10286	32934
238	10335	32910
239	10366	32826
240	10400	32756
241	10453	32741
242	10483	32657
243	10520	32597
244	10581	32606
245	10612	32528
246	10642	32443
247	10691	32420
248	10721	32336
249	10750	32250
250	10818	32282
251	10851	32209
252	10884	32138
253	10938	32126
254	10973	32059
255	11006	31986
256	11074	32017
257	11108	31946
258	11138	31866
259	11192	31854
260	11226	31787
261	11255	31705
262	11324	31735
263	11356	31660
264	11385	31579
265	11453	31606
266	11491	31548
267	11522	31472
268	11577	31460
269	11609	31387
270	11641	31315
271	11710	31342
272	11742	31270
273	11769	31185
274	11834	31199
275	11865	31125
276	11892	31039
277	11945	31024
278	11986	30974
279	12015	30896
280	12083	30917
281	12114	30844
282	12144	30770
283	12201	30761
284	12230	30682
285	12260	30608
286	12320	30608
287	12350	30532
288	12379	30457
289	12429	30429
290	12468	30379
291	12499	30307
292	12568	30326
293	12599	30254
294	12631	30187
295	12704	30215
296	12735	30144
297	12765	30072
298	12832	30086
299	12865	30019
300	12901	29960
301	12965	29967
302	12995	29893
303	13023	29817
304	13078	29800
305	13109	29731
306	13143	29668
307	13215	29690
308	13248	29627
309	13275	29547
310	13331	29535
311	13373	29489
312	13404	29421
313	13459	29405
314	13491	29339
315	13523	29271
316	13588	29277
317	13619	29208
318	13648	29137
319	13695	29103
320	13725	29034
321	13753	28959
322	13801	28927
323	13838	28873
324	13869	28806
325	13933	28807
326	13963	28737
327	13995	28674
328	14049	28653
329	14080	28587
330	14108	28515
331	14159	28488
332	14186	28415
333	14216	28347
334	14280	28348
335	14309	28279
336	14338	28209
337	14386	28177
338	14425	28128
339	14454	28059
340	14509	28040
341	14541	27977
342	14573	27915
343	14644	27926
344	14674	27860
345	14703	27792
346	14751	27759
347	14782	27696
348	14819	27643
349	14872	27621
350	14906	27561
351	14936	27496
352	15008	27509
353	15038	27443
354	15068	27378
355	15121	27354
356	15152	27291
357	15182	27226
358	15244	27219
359	15281	27167
360	15311	27103
361	15382	27110
362	15413	27047
363	15443	26984
364	15512	26987
365	15541	26921
366	15570	26855
367	15637	26856
368	15668	26793
369	15698	26730
370	15752	26707
371	15780	26641
372	15817	26588
373	15886	26590
374	15913	26522
375	15945	26463
376	16011	26459
377	16038	26392
378	16067	26326
379	16133	26323
380	16163	26260
381	16191	26194
382	16240	26162
383	16270	26100
384	16310	26055
385	16376	26049
386	16408	25990
387	16438	25929
388	16502	25920
389	16532	25858
390	16563	25797
391	16618	25775
392	16648	25713
393	16680	25656
394	16733	25630
395	16763	25568
396	16803	25522
397	16869	25516
398	16915	25479
399	16963	25444
400	17038	25452
401	17073	25397
402	17108	25343
403	17169	25329
404	17203	25273
405	17234	25214
406	17298	25204
407	17329	25145
408	17370	25100
409	17436	25092
410	17471	25038
411	17502	24979
412	17572	24976
413	17605	24919
414	17636	24861
415	17696	24843
416	17728	24785
417	17758	24726
418	17823	24714
419	17863	24668
420	17891	24605
421	17919	24544
422	17972	24515
423	18006	24461
424	18043	24411
425	18101	24390
426	18133	24333
427	18167	24280
428	18224	24256
429	18256	24200
430	18287	24142
431	18351	24129
432	18391	24083
433	18425	24030
434	18491	24018
435	18523	23961
436	18556	23907
437	18612	23881
438	18641	23821
439	18672	23764
440	18724	23735
441	18755	23677
442	18792	23628
443	18856	23613
444	18889	23558
445	18919	23500
446	18971	23470
447	19004	23416
448	19037	23362
449	19094	23337
450	19124	23280
451	19158	23226
452	19211	23198
453	19245	23145
454	19284	23099
455	19344	23077
456	19375	23022
457	19406	22965
458	19462	22939
459	19492	22882
460	19525	22829
461	19593	22816
462	19621	22757
463	19652	22702
464	19706	22673
465	19742	22622
466	19775	22570
467	19829	22541
468	19860	22485
469	19892	22431
470	19943	22399
471	19975	22344
472	20008	22292
473	20074	22277
474	20105	22221
475	20138	22169
476	20211	22160
477	20242	22105
478	20274	22051
479	20342	22038
480	20373	21983
481	20405	21930
482	20468	21909
483	20498	21854
484	20531	21801
485	20594	21781
486	20628	21729
487	20667	21683
488	20724	21656
489	20757	21605
490	20790	21553
491	20850	21528
492	20882	21475
493	20911	21419
494	20961	21385
495	20991	21330
496	21021	21275
497	21087	21256
498	21122	21206
499	21153	21153
500	21216	21131
501	21247	21077
502	21280	21026
503	21340	21001
504	21374	20951
505	21409	20902
506	21473	20880
507	21502	20825
508	21532	20770
509	21599	20752
510	21632	20701
511	21665	20650
512	21732	20630
513	21762	20576
514	21798	20528
515	21866	20510
516	21898	20458
517	21930	20406
518	21996	20385
519	22033	20338
520	22065	20286
521	22134	20268
522	22165	20216
523	22197	20164
524	22262	20142
525	22293	20089
