iter	Passed	Remaining
0	26	26572
1	50	25431
2	76	25322
3	130	32383
4	157	31374
5	185	30648
6	263	37439
7	296	36753
8	327	36088
9	403	39962
10	434	39026
11	461	37997
12	517	39297
13	545	38444
14	574	37701
15	633	38963
16	662	38281
17	693	37838
18	753	38913
19	782	38339
20	821	38291
21	884	39315
22	919	39040
23	950	38645
24	1004	39194
25	1034	38741
26	1067	38476
27	1125	39081
28	1161	38889
29	1191	38527
30	1255	39241
31	1293	39133
32	1323	38774
33	1390	39499
34	1422	39212
35	1454	38959
36	1512	39354
37	1543	39062
38	1574	38804
39	1630	39138
40	1660	38846
41	1701	38804
42	1758	39130
43	1785	38792
44	1815	38535
45	1877	38938
46	1910	38738
47	1940	38482
48	2000	38821
49	2029	38564
50	2058	38298
51	2118	38616
52	2154	38491
53	2185	38280
54	2245	38574
55	2275	38357
56	2304	38118
57	2359	38328
58	2390	38132
59	2421	37938
60	2488	38301
61	2518	38108
62	2549	37912
63	2616	38272
64	2645	38054
65	2675	37856
66	2729	38008
67	2759	37814
68	2789	37643
69	2847	37829
70	2884	37739
71	2917	37604
72	2946	37414
73	3017	37760
74	3045	37556
75	3074	37379
76	3135	37587
77	3162	37376
78	3190	37197
79	3247	37343
80	3276	37178
81	3307	37022
82	3364	37173
83	3396	37035
84	3430	36933
85	3504	37245
86	3533	37079
87	3563	36931
88	3621	37066
89	3654	36948
90	3687	36838
91	3749	37001
92	3779	36857
93	3809	36715
94	3879	36953
95	3907	36792
96	3940	36679
97	4001	36827
98	4031	36690
99	4061	36550
100	4117	36652
101	4148	36519
102	4178	36387
103	4236	36497
104	4265	36361
105	4303	36295
106	4363	36420
107	4395	36303
108	4426	36179
109	4484	36285
110	4517	36177
111	4551	36087
112	4619	36257
113	4651	36152
114	4683	36040
115	4766	36322
116	4796	36196
117	4826	36075
118	4884	36164
119	4915	36044
120	4945	35925
121	5003	36006
122	5031	35871
123	5060	35752
124	5119	35835
125	5150	35728
126	5190	35677
127	5265	35873
128	5299	35780
129	5330	35674
130	5404	35853
131	5432	35725
132	5463	35616
133	5523	35697
134	5552	35579
135	5578	35441
136	5643	35550
137	5685	35516
138	5714	35395
139	5773	35466
140	5806	35371
141	5833	35246
142	5894	35325
143	5926	35227
144	5954	35109
145	6010	35154
146	6038	35039
147	6068	34936
148	6132	35025
149	6158	34899
150	6190	34808
151	6247	34853
152	6276	34746
153	6302	34624
154	6359	34670
155	6388	34565
156	6419	34467
157	6477	34518
158	6508	34423
159	6546	34371
160	6623	34516
161	6653	34416
162	6685	34328
163	6747	34395
164	6776	34292
165	6808	34205
166	6865	34243
167	6896	34152
168	6926	34056
169	6997	34165
170	7028	34073
171	7058	33977
172	7115	34015
173	7143	33909
174	7175	33825
175	7232	33861
176	7261	33765
177	7291	33670
178	7347	33700
179	7377	33607
180	7416	33558
181	7473	33590
182	7502	33495
183	7532	33407
184	7606	33507
185	7638	33426
186	7665	33328
187	7731	33392
188	7762	33307
189	7793	33224
190	7854	33266
191	7892	33212
192	7922	33126
193	7981	33158
194	8009	33066
195	8043	32993
196	8099	33013
197	8130	32932
198	8164	32863
199	8221	32885
200	8253	32809
201	8293	32761
202	8353	32797
203	8383	32712
204	8411	32620
205	8471	32653
206	8502	32570
207	8531	32486
208	8587	32499
209	8613	32403
210	8646	32332
211	8700	32339
212	8740	32293
213	8771	32216
214	8824	32220
215	8861	32165
216	8893	32092
217	8925	32016
218	8986	32046
219	9012	31952
